id,city,neighborhood,price,currency,type,bedrooms,bathrooms,parking,garden,pool,near_schools,near_transit,sqft,address,url,image_url,lat,lon,description
1001,Tbilisi,Vera,12190,USD,apartment,3,1,True,True,True,True,True,145,43 Vera St.,https://example.com/listing/1001,https://picsum.photos/seed/1001/640/360,41.699991096141424,44.78245275693654,"3BR apartment in Vera, Tbilisi. Cozy place with pool, garden, parking."
1002,Tbilisi,Vera,13990,USD,house,3,1,True,True,True,True,False,104,57 Vera St.,https://example.com/listing/1002,https://picsum.photos/seed/1002/640/360,41.70554580311892,44.80123880905287,"3BR house in Vera, Tbilisi. Cozy place with garden, parking, pool."
1003,Tbilisi,Vake,14610,USD,apartment,2,2,True,True,True,True,True,153,160 Vake St.,https://example.com/listing/1003,https://picsum.photos/seed/1003/640/360,41.67671156908106,44.79831487340379,"2BR apartment in Vake, Tbilisi. Cozy place with pool, garden, parking."
1004,Tbilisi,Vake,16410,USD,apartment,2,2,True,True,True,False,False,102,124 Vake St.,https://example.com/listing/1004,https://picsum.photos/seed/1004/640/360,41.68795780154401,44.81461975627213,"2BR apartment in Vake, Tbilisi. Cozy place with pool, garden, parking."
1005,Tbilisi,Saburtalo,30890,USD,apartment,3,1,True,False,False,True,True,213,147 Saburtalo St.,https://example.com/listing/1005,https://picsum.photos/seed/1005/640/360,41.70383121851758,44.82247595052807,"3BR apartment in Saburtalo, Tbilisi. Cozy place with parking."
1006,Tbilisi,Saburtalo,6930,USD,apartment,1,1,False,False,False,True,True,178,60 Saburtalo St.,https://example.com/listing/1006,https://picsum.photos/seed/1006/640/360,41.70806777227093,44.783345340285756,"1BR apartment in Saburtalo, Tbilisi. Cozy place with basic amenities."
1007,Tbilisi,Old Tbilisi,12730,USD,apartment,4,2,True,False,True,True,False,89,167 Old Tbilisi St.,https://example.com/listing/1007,https://picsum.photos/seed/1007/640/360,41.6957714220105,44.812948274319155,"4BR apartment in Old Tbilisi, Tbilisi. Cozy place with pool, parking."
1008,Tbilisi,Old Tbilisi,24480,USD,house,2,1,False,False,False,False,True,47,135 Old Tbilisi St.,https://example.com/listing/1008,https://picsum.photos/seed/1008/640/360,41.71503318520417,44.797872670329824,"2BR house in Old Tbilisi, Tbilisi. Cozy place with basic amenities."
1009,Batumi,Old Boulevard,28770,USD,condo,2,2,False,False,True,True,False,217,176 Old Boulevard St.,https://example.com/listing/1009,https://picsum.photos/seed/1009/640/360,41.61115579435524,41.596685742681025,"2BR condo in Old Boulevard, Batumi. Cozy place with pool."
1010,Batumi,Old Boulevard,25730,USD,house,2,1,False,False,True,True,True,218,122 Old Boulevard St.,https://example.com/listing/1010,https://picsum.photos/seed/1010/640/360,41.586737294579194,41.60055269829944,"2BR house in Old Boulevard, Batumi. Cozy place with pool."
1011,Batumi,New Boulevard,11500,USD,apartment,4,1,True,True,True,False,True,152,162 New Boulevard St.,https://example.com/listing/1011,https://picsum.photos/seed/1011/640/360,41.602090751707664,41.61407698488806,"4BR apartment in New Boulevard, Batumi. Cozy place with garden, pool, parking."
1012,Batumi,New Boulevard,34670,USD,apartment,1,2,False,False,False,True,True,206,2 New Boulevard St.,https://example.com/listing/1012,https://picsum.photos/seed/1012/640/360,41.61717730049661,41.59541873207114,"1BR apartment in New Boulevard, Batumi. Cozy place with basic amenities."
1013,Batumi,Chaqvi,28870,USD,house,1,2,False,False,False,True,True,214,55 Chaqvi St.,https://example.com/listing/1013,https://picsum.photos/seed/1013/640/360,41.59433854088607,41.59820464779628,"1BR house in Chaqvi, Batumi. Cozy place with basic amenities."
1014,Batumi,Chaqvi,27880,USD,apartment,1,1,False,True,True,False,False,46,107 Chaqvi St.,https://example.com/listing/1014,https://picsum.photos/seed/1014/640/360,41.5923696325332,41.60091669576702,"1BR apartment in Chaqvi, Batumi. Cozy place with pool, garden."
